Running Time,Self (ms),,Symbol Name
28791.0ms   99.9%,0, ,start
28790.8ms   99.9%,0, , __rust_try
28790.8ms   99.9%,0, ,  sys_common::unwind::try::try_fn::h15411707225561299101
28788.9ms   99.9%,7545.359999999916, ,   profiling::main
10452.3ms   36.3%,10452.31999999982, ,    profiling::sum_floats
10273.6ms   35.6%,10273.55999999983, ,    profiling::multiply_ints
394.2ms    1.3%,0.12, ,    profiling::heap::deallocate
351.9ms    1.2%,20.63999999999974, ,     free_large
289.0ms    1.0%,289.039999999998, ,      madvise
34.6ms    0.1%,0.12, ,      deallocate_pages
34.5ms    0.1%,0.16, ,       mach_vm_deallocate
34.3ms    0.1%,34.32000000000001, ,        _kernelrpc_mach_vm_deallocate_trap
4.1ms    0.0%,4.120000000000003, ,      large_entry_for_pointer_no_lock
3.4ms    0.0%,3.400000000000002, ,      large_entry_free_no_lock
0.1ms    0.0%,0.08, ,      _os_lock_spin_unlock
32.9ms    0.1%,11.03999999999998, ,     free
13.3ms    0.0%,13.31999999999995, ,      szone_size
3.7ms    0.0%,3.720000000000002, ,      _os_lock_spin_lock
3.4ms    0.0%,1.04, ,      szone_size_try_large
2.4ms    0.0%,2.360000000000001, ,       large_entry_for_pointer_no_lock
1.0ms    0.0%,1.04, ,      os_lock_lock
0.1ms    0.0%,0.12, ,      os_lock_unlock
0.1ms    0.0%,0.12, ,      _os_lock_spin_unlock
0.1ms    0.0%,0.08, ,      DYLD-STUB$$os_lock_lock
0.0ms    0.0%,0, ,      <Unknown Address>
0.0ms    0.0%,0.04, ,       large_entry_for_pointer_no_lock
4.1ms    0.0%,4.120000000000002, ,     _os_lock_spin_lock
2.0ms    0.0%,2.000000000000001, ,     szone_free_definite_size
0.0ms    0.0%,0.04, ,      tiny_free_list_remove_ptr
0.6ms    0.0%,0.6, ,     madvise
0.5ms    0.0%,0.4799999999999999, ,     _os_lock_spin_unlock
0.4ms    0.0%,0.4400000000000001, ,     os_lock_lock
0.4ms    0.0%,0, ,     <Unknown Address>
0.2ms    0.0%,0.2, ,      large_entry_free_no_lock
0.1ms    0.0%,0.12, ,      szone_size_try_large
0.0ms    0.0%,0.04, ,      szone_size
0.3ms    0.0%,0.32, ,     __rust_deallocate
0.3ms    0.0%,0.32, ,     DYLD-STUB$$madvise
0.3ms    0.0%,0.28, ,     os_lock_unlock
0.1ms    0.0%,0.12, ,     DYLD-STUB$$os_lock_unlock
0.1ms    0.0%,0.12, ,     DYLD-STUB$$os_lock_lock
0.1ms    0.0%,0.08, ,     szone_size
122.0ms    0.4%,0.04, ,    profiling::heap::allocate
121.2ms    0.4%,3.920000000000003, ,     malloc
117.0ms    0.4%,0.8000000000000003, ,      malloc_zone_malloc
115.4ms    0.4%,3.720000000000002, ,       szone_malloc_should_clear
106.6ms    0.3%,13.19999999999996, ,        large_malloc
90.6ms    0.3%,90.59999999999926, ,         madvise
2.8ms    0.0%,0.04, ,         allocate_pages
2.8ms    0.0%,0.16, ,          mach_vm_map
2.6ms    0.0%,2.600000000000001, ,           _kernelrpc_mach_vm_map_trap
0.0ms    0.0%,0, ,         <Unknown Address>
0.0ms    0.0%,0.04, ,          mach_vm_map
4.3ms    0.0%,4.280000000000002, ,        _os_lock_spin_lock
0.2ms    0.0%,0.2, ,        DYLD-STUB$$os_lock_unlock
0.2ms    0.0%,0.16, ,        os_lock_lock
